Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Current course ID,Old course URL,Old Course ID,Course ID,NPTEL URL
noc25-ar09,Architecture and Planning,User Interface Design,Prof. Saptarshi Kolay,IIT Roorkee,IIT Roorkee,4 Weeks,Rerun,20 01 2025,14 02 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ar09/preview,noc25_ar09,https://onlinecourses.nptel.ac.in/noc24_ar05/preview,https://onlinecourses.nptel.ac.in/noc24_ar05/preview,noc24_ar05,
noc25-ar11,Architecture and Planning,Disaster Recovery and Build Back Better,"Prof. Ram Sateesh Pasupuleti 
Prof. Subhojyothi Samaddar",IIT Roorkee,IIT Roorkee,8 Weeks,Rerun,17 02 2025,11 04 2025,26 04 2025,17 02 2025,24 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ar11/preview,noc25_ar11,https://onlinecourses.nptel.ac.in/noc22_ar05/preview,https://onlinecourses.nptel.ac.in/noc22_ar05/preview,noc22_ar05,
noc25-ar06,"Architecture and Planning, Civil Engineering",Bioclimatic Architecture: Futureproofing with Simple and Advanced Passive Strategies,Prof. Iyer Vijayalaxmi Kasinath,School of Planning and Architecture Vijayawada,IIT Madras,12 Weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG,Core,No,Environment,https://onlinecourses.nptel.ac.in/noc25_ar06/preview,noc25_ar06,,,,
noc25-ar10,Architecture and Regional Planning,Building Energy Systems and Auditing,Prof. Shankha Pratim Bhattacharya,IIT Kharagpur,IIT Kharagpur,8 Weeks,New,17 02 2025,11 04 2025,26 04 2025,17 02 2025,24 02 2025,UG,Core,No,Environment,https://onlinecourses.nptel.ac.in/noc25_ar10/preview,noc25_ar10,,,,
noc25-de11,"Architecture; Interior Design; Design; History of Design (esp.
 focusing on India); Indian Knowledge Systems",Interior Design,Prof. Smriti Saraswat,IIT Roorkee,IIT Roorkee,8 Weeks,New,17 02 2025,11 04 2025,27 04 2025,17 02 2025,24 02 2025,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc25_de11/preview,noc25_de11,,,,
noc25-ge18,"Biological Sciences & Engineering. 
 (also students from Physics, Computer Science, 
 Mathematics, and other branches of Engineering)",Introduction to Evolutionary Dynamics,Prof. Supreet Saini,IIT Bombay,IIT Bombay,12 weeks,New,20 01 2025,11 04 2025,4 05 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ge18/preview,noc25_ge18,,,,
noc25-bt18,Bioscience and Biotechnology,Environmental Chemistry and Microbiology,"Prof. Anjali Pal
 Prof. Sudha Goel",IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_bt18/preview,noc25_bt18,https://onlinecourses.nptel.ac.in/noc23_bt07/preview,https://onlinecourses.nptel.ac.in/noc23_bt07/preview,noc23_bt07,
noc25-bt35,Bioscience and Biotechnology,Molecular Biology,Prof. Vishal Trivedi,IIT Guwahati,IIT Guwahati,12 Weeks,Rerun,20 01 2025,11 04 2025,27 04 2025,27 01 2025,14 02 2025,UG,Core,No,Biosciences,https://onlinecourses.nptel.ac.in/noc25_bt35/preview,noc25_bt35,https://onlinecourses.nptel.ac.in/noc24_bt07/preview,https://onlinecourses.nptel.ac.in/noc24_bt07/preview,noc24_bt07,
noc25-bt38,Bioscience and Biotechnology,Pharmacognosy & Metabolic Engineering,Prof. Adinpunya Mitra,IIT Kharagpur,IIT Kharagpur,12 weeks,Rerun,20 01 2025,11 04 2025,27 04 2025,27 01 2025,14 02 2025,PG,Elective,Yes,Bioprocesses,https://onlinecourses.nptel.ac.in/noc25_bt38/preview,noc25_bt38,https://onlinecourses.nptel.ac.in/noc24_bt08/preview,https://onlinecourses.nptel.ac.in/noc24_bt08/preview,noc24_bt08,
noc25-bt39,Bioscience and Biotechnology,Plant Developmental Biology,Prof. Shri Ram Yadav,IIT Roorkee,IIT Roorkee,4 Weeks,Rerun,20 01 2025,14 02 2025,23 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Biosciences,https://onlinecourses.nptel.ac.in/noc25_bt39/preview,noc25_bt39,https://onlinecourses.nptel.ac.in/noc24_bt09/preview,https://onlinecourses.nptel.ac.in/noc24_bt09/preview,noc24_bt09,
